iter	RMSE
0	258682.5656
1	250099.51
2	241902.8866
3	235087.6272
4	229434.7221
5	224679.9205
6	220750.0149
7	217509.1379
8	214790.5563
9	211355.4619
10	208518.5003
11	206251.5949
12	204397.8518
13	202873.6934
14	201814.5355
15	198905.7733
16	196502.2219
17	194523.5531
18	193695.8922
19	191892.067
20	190402.4794
21	189211.0137
22	188290.8911
23	187443.8068
24	186772.7895
25	186222.9204
26	185769.771
27	185380.9105
28	185030.2089
29	184786.7769
30	184494.0255
31	184248.1771
32	184007.2655
33	183927.3351
34	183796.4342
35	183694.0248
36	183633.0866
37	183553.9433
38	183465.0594
39	183393.4472
40	183317.7564
41	183206.4379
42	183140.8832
43	183083.8544
44	183055.7715
45	183018.4662
46	182985.8683
47	182793.6773
48	182756.3571
49	182738.3941
50	182723.169
51	182707.3327
52	182664.5297
53	182515.6079
54	182285.2823
55	182092.7808
56	182075.3273
57	181955.5372
58	181786.1938
59	181659.0311
60	181646.2427
61	181626.8472
62	181459.0763
63	181434.2712
64	181408.0243
65	181397.1829
66	181386.651
67	181244.5496
68	181235.299
69	181106.0106
70	181019.3531
71	181010.9764
72	180915.8931
73	180817.193
74	180809.677
75	180802.8227
76	180796.2656
77	180790.0652
78	180708.102
79	180652.9152
80	180620.3731
81	180599.0462
82	180553.3528
83	180478.5141
84	180466.2489
85	180422.8289
86	180408.1104
87	180390.1185
88	180337.0718
89	180306.6364
90	180295.2746
91	180290.5994
92	180286.0864
93	180237.7465
94	180194.4575
95	180142.2444
96	180127.5127
97	180123.5897
98	180098.0861
99	180086.0757
100	180027.9139
101	179992.109
102	179950.1469
103	179934.8296
104	179889.0332
105	179874.7421
106	179848.7338
107	179845.0067
108	179841.4492
109	179822.3329
110	179819.1158
111	179812.2285
112	179809.1755
113	179780.4564
114	179737.0032
115	179732.1932
116	179721.9166
117	179719.5352
118	179705.4119
119	179663.471
120	179661.1497
121	179620.3794
122	179559.9187
123	179519.045
124	179499.1237
125	179418.281
126	179355.0271
127	179336.3783
128	179327.2455
129	179295.6169
130	179257.9495
131	179215.9293
132	179214.0529
133	179184.137
134	179179.6553
135	179169.3158
136	179139.8087
137	179138.0409
138	179129.7702
139	179128.1297
140	179126.573
141	179126.4736
142	179074.9511
143	179068.1377
144	179066.6763
145	179026.7788
146	178989.8057
147	178983.6376
148	178982.0367
149	178975.5635
150	178941.9641
151	178933.2514
152	178901.3365
153	178874.4988
154	178865.7252
155	178860.8887
156	178820.8277
157	178803.9253
158	178799.6175
159	178795.4294
160	178778.8333
161	178760.7248
162	178745.5125
163	178723.3304
164	178710.347
165	178707.4268
166	178689.1695
167	178681.4445
168	178660.546
169	178642.351
170	178621.671
171	178571.2088
172	178546.0262
173	178541.6601
174	178540.7538
175	178534.6955
176	178493.1346
177	178484.9267
178	178481.0818
179	178467.5457
180	178457.3645
181	178453.7211
182	178404.4701
183	178374.636
184	178359.416
185	178358.7295
186	178358.0787
187	178343.8522
188	178300.5417
189	178279.1377
190	178252.7479
191	178246.1272
192	178243.2588
193	178242.73
194	178220.3594
195	178201.1195
196	178198.3951
197	178196.077
198	178190.6196
199	178181.5778
200	178173.8778
201	178145.3751
202	178139.2641
203	178105.6089
204	178075.7222
205	178042.9652
206	178022.1844
207	178016.6544
208	178014.6344
209	178011.4081
210	178002.2321
211	177989.1245
212	177959.5672
213	177948.955
214	177873.0239
215	177839.6715
216	177810.7183
217	177801.5906
218	177791.7743
219	177782.7895
220	177766.6155
221	177766.2862
222	177763.4288
223	177758.2738
224	177750.3292
225	177695.7561
226	177682.7642
227	177676.2589
228	177670.965
229	177664.6808
230	177654.5844
231	177643.0858
232	177623.3268
233	177612.9729
234	177596.2425
235	177590.9679
236	177576.4037
237	177574.2618
238	177551.2116
239	177539.037
240	177477.7795
241	177464.6056
242	177445.4749
243	177435.6056
244	177391.4911
245	177375.4165
246	177370.3303
247	177320.2184
248	177315.933
249	177304.6018
250	177299.8618
251	177291.5879
252	177290.5328
253	177282.8686
254	177273.6016
255	177270.8031
256	177259.2928
257	177237.5003
258	177233.9086
259	177208.7845
260	177206.8921
261	177205.116
262	177164.2841
263	177160.4084
264	177147.728
265	177138.2128
266	177132.5414
267	177125.794
268	177116.4444
269	177114.3925
270	177103.094
271	177099.9461
272	177097.9313
273	177096.2837
274	177088.5402
275	177081.5291
276	177069.474
277	177066.9193
278	177042.515
279	177034.2465
280	177031.898
281	177028.3918
282	177015.3107
283	177012.0609
284	177000.0017
285	176998.3899
286	176993.6431
287	176960.5654
288	176949.5627
289	176948.4198
290	176945.9505
291	176944.3549
292	176939.7069
293	176929.5472
