iter	Passed	Remaining
0	779	388858
1	1283	319626
2	1969	326248
3	2440	302645
4	2863	283460
5	3152	259558
6	3427	241396
7	4087	251364
8	4490	244987
9	4987	244384
10	5285	234980
11	5597	227649
12	5896	220909
13	6156	213716
14	6713	217057
15	7389	223539
16	7998	227239
17	8388	224615
18	8717	220682
19	9007	216183
20	9301	212164
21	9652	209712
22	10225	212068
23	10633	210905
24	10913	207353
25	11173	203693
26	11452	200637
27	11857	199886
28	12152	197372
29	12441	194920
30	12709	192279
31	13340	195109
32	13682	193626
33	14109	193386
34	14525	192979
35	15113	194795
36	15455	193405
37	16076	195453
38	16467	194650
39	16749	192621
40	17239	192998
41	17544	191313
42	17869	189916
43	18344	190120
44	18821	190308
45	19227	189767
46	19749	190353
47	20532	193343
48	20942	192755
49	21355	192195
50	21868	192528
51	22359	192635
52	22835	192593
53	23137	191101
54	23643	191296
55	23989	190205
56	24536	190698
57	24852	189391
58	25510	190682
59	25938	190213
60	26398	189985
61	26835	189578
62	27479	190611
63	27953	190429
64	28418	190186
65	28838	189632
66	29352	189698
67	29891	189901
68	30206	188680
69	30758	188947
70	31113	187998
71	31390	186596
72	31761	185782
73	32218	185475
74	32486	184088
75	33025	184248
76	33651	184863
77	34150	184764
78	34489	183801
79	35094	184244
80	35483	183548
81	35887	182936
82	36466	183210
83	36835	182423
84	37383	182520
85	38035	183103
86	38459	182571
87	38868	181974
88	39392	181913
89	39904	181788
90	40412	181632
91	41029	181956
92	41496	181603
93	42084	181768
94	42448	180964
95	43256	182036
96	43727	181670
97	44054	180712
98	44672	180945
99	45115	180460
100	45576	180049
101	46726	182323
102	47196	181914
103	47520	180943
104	48123	181037
105	48904	181778
106	49319	181146
107	49831	180868
108	50213	180124
109	50848	180280
110	51234	179549
111	51654	178945
112	51940	177884
113	52979	179387
114	53499	179107
115	53922	178502
116	54582	178677
117	55029	178146
118	55495	177680
119	55854	176873
120	56114	175764
121	56482	175002
122	57001	174711
123	57679	174898
124	58151	174454
125	58748	174381
126	59364	174352
127	59749	173647
128	60150	172989
129	60725	172835
130	61438	173058
131	62344	173809
132	62684	172970
133	63100	172348
134	63564	171859
135	64088	171531
136	64400	170637
137	64880	170194
138	65441	169959
139	65925	169523
140	66564	169480
141	66925	168728
142	67661	168917
143	68066	168276
144	68696	168187
145	69024	167361
146	69473	166830
147	70502	167681
148	70991	167235
149	71644	167171
150	72213	166904
151	72672	166381
152	73163	165932
153	73469	165068
154	74025	164766
155	74776	164891
156	75243	164384
157	75828	164134
158	76398	163848
159	76726	163044
160	77306	162776
161	77712	162140
162	78151	161576
163	78794	161433
164	79417	161241
165	79866	160695
166	80522	160562
167	81058	160186
168	81549	159721
169	82049	159272
170	82692	159099
171	83178	158619
172	83794	158386
173	84182	157720
174	84627	157165
175	85828	158002
176	86800	158399
177	87426	158152
178	88588	158864
179	90010	160019
180	91349	160996
181	91870	160521
182	92308	159901
183	92617	159059
184	93050	158437
185	93569	157960
186	94032	157391
187	94966	157603
188	95399	156980
189	95947	156545
190	96752	156526
191	97368	156195
192	97736	155466
193	98370	155162
194	98784	154509
195	99155	153792
196	99807	153510
197	100365	153082
198	101298	153220
199	102400	153600
200	102787	152902
201	103720	153013
202	104592	153023
203	105022	152385
204	105573	151922
205	105979	151251
206	106574	150851
207	106901	150073
208	107536	149727
209	107996	149137
210	108285	148315
211	108862	147888
212	109325	147307
213	110485	147658
214	111528	147840
215	112137	147440
216	112579	146820
217	113117	146326
218	113492	145622
219	114530	145766
220	115193	145425
221	115932	145176
222	116512	144725
223	116890	144025
224	117564	143689
225	118608	143800
226	119909	144207
227	120649	143932
228	121503	143787
229	122477	143777
230	123331	143620
231	123833	143049
232	124571	142749
233	125417	142569
234	126514	142665
235	127101	142181
236	127480	141465
237	128001	140909
238	129224	141119
239	129749	140562
240	130286	140016
241	131308	139989
242	132004	139609
243	132792	139323
244	133214	138651
245	133762	138112
246	134387	137652
247	134809	136983
248	135361	136448
249	136673	136673
250	137180	136087
251	138268	136073
252	138969	135674
253	139463	135071
254	139866	134381
255	140798	134198
256	142147	134404
257	143061	134189
258	143931	133928
259	144774	133637
260	145610	133337
261	146427	133014
262	147295	132733
263	147934	132244
